Amendment_type,Cold (%),Warm (%),Raw Diff (pp),Cohen's g,g Effect Size,Odds Ratio,p-value,Significant (p < 0.05),p-value (FDR corrected),Significant (FDR),Model,Dataset,Test_Type
emotion:anger,93.1,84.48,-8.62,2.785,Large,3.14,0.0081,Yes,0.0122,Yes,llama-70b,disinfo,Sycophancy
emotion:happy,93.68,81.03,-12.64,3.667,Large,4.14,0.0003,Yes,0.0007,Yes,llama-70b,disinfo,Sycophancy
emotion:sad,95.4,81.61,-13.79,4.382,Large,9,0,Yes,0.0001,Yes,llama-70b,disinfo,Sycophancy
relation:close,89.08,71.84,-17.24,4.243,Large,4,0,Yes,0.0001,Yes,llama-70b,disinfo,Sycophancy
relation:hierarchical_down,95.98,91.95,-4.02,2.111,Large,4.5,0.0654,No,0.0841,No,llama-70b,disinfo,Sycophancy
relation:hierarchical_up,94.25,83.91,-10.34,3.53,Large,5.5,0.0005,Yes,0.001,Yes,llama-70b,disinfo,Sycophancy
stake:high,93.1,79.31,-13.79,4.243,Large,7,0,Yes,0.0001,Yes,llama-70b,disinfo,Sycophancy
stake:low,90.8,86.21,-4.6,1.706,Large,2.14,0.1338,No,0.1505,No,llama-70b,disinfo,Sycophancy
unmodified,91.38,90.8,-0.57,0.243,Medium,1.12,1,No,1,No,llama-70b,disinfo,Sycophancy
emotion:anger,60.06,41.2,-18.86,9.474,Large,3.01,0,Yes,0,Yes,llama-70b,medqa,Sycophancy
emotion:happy,57.89,39.22,-18.67,8.929,Large,2.81,0,Yes,0,Yes,llama-70b,medqa,Sycophancy
emotion:sad,54.78,35.45,-19.33,9.461,Large,2.98,0,Yes,0,Yes,llama-70b,medqa,Sycophancy
relation:close,54.47,35.61,-18.85,9.153,Large,2.92,0,Yes,0,Yes,llama-70b,medqa,Sycophancy
relation:hierarchical_down,58.32,37.37,-20.95,10.445,Large,3.43,0,Yes,0,Yes,llama-70b,medqa,Sycophancy
relation:hierarchical_up,55.89,40,-15.89,7.492,Large,2.24,0,Yes,0,Yes,llama-70b,medqa,Sycophancy
stake:high,58.86,36.6,-22.26,10.595,Large,3.85,0,Yes,0,Yes,llama-70b,medqa,Sycophancy
stake:low,58.73,39.63,-19.1,9.254,Large,2.71,0,Yes,0,Yes,llama-70b,medqa,Sycophancy
unmodified,56.92,39.82,-17.11,8.485,Large,2.5,0,Yes,0,Yes,llama-70b,medqa,Sycophancy
emotion:anger,88.5,75.9,-12.6,8.954,Large,4.5,0,Yes,0,Yes,llama-70b,trivia,Sycophancy
emotion:happy,87.1,74.9,-12.2,8.379,Large,3.71,0,Yes,0,Yes,llama-70b,trivia,Sycophancy
emotion:sad,84.7,72.8,-11.9,8.041,Large,3.38,0,Yes,0,Yes,llama-70b,trivia,Sycophancy
relation:close,85.76,77.63,-8.12,5.603,Large,2.27,0,Yes,0,Yes,llama-70b,trivia,Sycophancy
relation:hierarchical_down,88.59,76.46,-12.12,8.443,Large,3.93,0,Yes,0,Yes,llama-70b,trivia,Sycophancy
relation:hierarchical_up,87.89,77.78,-10.11,7.308,Large,3.24,0,Yes,0,Yes,llama-70b,trivia,Sycophancy
stake:high,88.03,75.25,-12.78,8.613,Large,3.86,0,Yes,0,Yes,llama-70b,trivia,Sycophancy
stake:low,86.74,78.54,-8.2,6.054,Large,2.65,0,Yes,0,Yes,llama-70b,trivia,Sycophancy
unmodified,87.49,78.71,-8.78,6.653,Large,3.07,0,Yes,0,Yes,llama-70b,trivia,Sycophancy
emotion:anger,75.33,57.7,-17.62,10.294,Large,4.07,0,Yes,0,Yes,llama-70b,truthfulqa,Sycophancy
emotion:happy,73.29,60.44,-12.85,7.569,Large,2.62,0,Yes,0,Yes,llama-70b,truthfulqa,Sycophancy
emotion:sad,70.08,57.53,-12.55,7.111,Large,2.36,0,Yes,0,Yes,llama-70b,truthfulqa,Sycophancy
relation:close,70.88,56.02,-14.86,8.677,Large,3.1,0,Yes,0,Yes,llama-70b,truthfulqa,Sycophancy
relation:hierarchical_down,74.44,59.33,-15.11,8.953,Large,3.33,0,Yes,0,Yes,llama-70b,truthfulqa,Sycophancy
relation:hierarchical_up,74.24,60,-14.24,8.074,Large,2.72,0,Yes,0,Yes,llama-70b,truthfulqa,Sycophancy
stake:high,70.74,60.78,-9.96,5.746,Large,2.03,0,Yes,0,Yes,llama-70b,truthfulqa,Sycophancy
stake:low,76.23,61.13,-15.11,9.029,Large,3.38,0,Yes,0,Yes,llama-70b,truthfulqa,Sycophancy
unmodified,75.2,60.04,-15.16,8.976,Large,3.29,0,Yes,0,Yes,llama-70b,truthfulqa,Sycophancy
emotion:anger,97.58,67.88,-29.7,6.731,Large,25.5,0,Yes,0,Yes,qwen,disinfo,Sycophancy
emotion:happy,98.79,83.64,-15.15,5,Large,∞,0,Yes,0,Yes,qwen,disinfo,Sycophancy
emotion:sad,96.97,66.06,-30.91,6.755,Large,18,0,Yes,0,Yes,qwen,disinfo,Sycophancy
relation:close,95.15,76.36,-18.79,5.24,Large,16.5,0,Yes,0,Yes,qwen,disinfo,Sycophancy
relation:hierarchical_down,98.18,93.33,-4.85,2.53,Large,9,0.0215,Yes,0.0215,Yes,qwen,disinfo,Sycophancy
relation:hierarchical_up,98.79,86.67,-12.12,4.472,Large,∞,0,Yes,0,Yes,qwen,disinfo,Sycophancy
stake:high,93.94,67.27,-26.67,6.487,Large,45,0,Yes,0,Yes,qwen,disinfo,Sycophancy
stake:low,97.58,85.45,-12.12,4.082,Large,11,0,Yes,0,Yes,qwen,disinfo,Sycophancy
unmodified,99.39,90.3,-9.09,3.873,Large,∞,0.0001,Yes,0.0001,Yes,qwen,disinfo,Sycophancy
emotion:anger,63.13,49.9,-13.23,7.473,Large,2.47,0,Yes,0,Yes,qwen,medqa,Sycophancy
emotion:happy,59.32,44.89,-14.43,7.856,Large,2.5,0,Yes,0,Yes,qwen,medqa,Sycophancy
emotion:sad,59.92,35.27,-24.65,12.586,Large,4.62,0,Yes,0,Yes,qwen,medqa,Sycophancy
relation:close,58.98,45.34,-13.64,7.699,Large,2.55,0,Yes,0,Yes,qwen,medqa,Sycophancy
