Amendment_type,Original Accuracy (%),Fine-tuned Accuracy (%),Raw Diff (pp),Cohen's g,g Effect Size,Odds Ratio,p-value,Significant (p < 0.05),p-value (FDR corrected),Significant (FDR),Model,Dataset,Test_Type
emotion:anger,89.87,84.18,-5.70,1.567,Large,1.75,0.1628,No,0.2093,No,llama-70b,disinfo,Sycophancy
emotion:happy,87.97,80.38,-7.59,2.121,Large,2.20,0.0501,No,0.0752,No,llama-70b,disinfo,Sycophancy
emotion:sad,93.04,81.01,-12.03,3.528,Large,4.80,0.0005,Yes,0.0025,Yes,llama-70b,disinfo,Sycophancy
relation:close,83.54,70.25,-13.29,3.280,Large,3.10,0.0015,Yes,0.0044,Yes,llama-70b,disinfo,Sycophancy
relation:hierarchical_down,94.30,91.14,-3.16,1.387,Large,2.25,0.2668,No,0.3002,No,llama-70b,disinfo,Sycophancy
relation:hierarchical_up,91.14,83.54,-7.59,2.268,Large,2.50,0.0357,Yes,0.0643,No,llama-70b,disinfo,Sycophancy
stake:high,91.77,78.48,-13.29,3.656,Large,4.50,0.0003,Yes,0.0025,Yes,llama-70b,disinfo,Sycophancy
stake:low,92.41,84.81,-7.59,2.558,Large,3.40,0.0169,Yes,0.0380,Yes,llama-70b,disinfo,Sycophancy
unmodified,91.77,89.87,-1.90,0.728,Large,1.43,0.6291,No,0.6291,No,llama-70b,disinfo,Sycophancy
emotion:anger,50.94,41.25,-9.68,4.787,Large,1.70,0.0000,Yes,0.0000,Yes,llama-70b,medqa,Sycophancy
emotion:happy,47.82,37.66,-10.15,5.143,Large,1.79,0.0000,Yes,0.0000,Yes,llama-70b,medqa,Sycophancy
emotion:sad,46.36,35.10,-11.26,5.793,Large,1.98,0.0000,Yes,0.0000,Yes,llama-70b,medqa,Sycophancy
relation:close,44.57,35.19,-9.38,4.684,Large,1.65,0.0000,Yes,0.0000,Yes,llama-70b,medqa,Sycophancy
relation:hierarchical_down,48.76,37.00,-11.76,5.835,Large,1.91,0.0000,Yes,0.0000,Yes,llama-70b,medqa,Sycophancy
relation:hierarchical_up,44.86,39.10,-5.77,3.042,Large,1.40,0.0028,Yes,0.0028,Yes,llama-70b,medqa,Sycophancy
stake:high,45.17,36.40,-8.76,4.281,Large,1.61,0.0000,Yes,0.0000,Yes,llama-70b,medqa,Sycophancy
stake:low,48.58,39.33,-9.25,4.638,Large,1.65,0.0000,Yes,0.0000,Yes,llama-70b,medqa,Sycophancy
unmodified,49.39,39.55,-9.84,5.300,Large,1.82,0.0000,Yes,0.0000,Yes,llama-70b,medqa,Sycophancy
emotion:anger,81.20,75.90,-5.30,3.472,Large,1.59,0.0006,Yes,0.0019,Yes,llama-70b,trivia,Sycophancy
emotion:happy,80.60,74.90,-5.70,4.001,Large,1.78,0.0001,Yes,0.0003,Yes,llama-70b,trivia,Sycophancy
emotion:sad,81.90,72.80,-9.10,5.936,Large,2.26,0.0000,Yes,0.0000,Yes,llama-70b,trivia,Sycophancy
relation:close,79.16,77.56,-1.60,1.069,Large,1.15,0.3162,No,0.3558,No,llama-70b,trivia,Sycophancy
relation:hierarchical_down,80.00,76.46,-3.54,2.533,Large,1.45,0.0137,Yes,0.0246,Yes,llama-70b,trivia,Sycophancy
relation:hierarchical_up,81.48,77.78,-3.70,2.636,Large,1.46,0.0101,Yes,0.0228,Yes,llama-70b,trivia,Sycophancy
stake:high,77.70,75.56,-2.14,1.347,Large,1.19,0.1994,No,0.2991,No,llama-70b,trivia,Sycophancy
